class,source,count
Abyssinian,oxford,200
Bengal,oxford,200
Birman,oxford,200
Bombay,oxford,200
British_Shorthair,oxford,200
Maine_Coon,oxford,200
Ragdoll,oxford,200
Sphynx,oxford,200
Tabby,wikimedia_commons,200
Tiger_Cat,wikimedia_commons,200
Beagle,oxford,200
Pug,oxford,200
Boxer,oxford,200
Shiba_Inu,oxford,200
Samoyed,oxford,200
Golden_Retriever,stanford_dogs,150
German_Shepherd,stanford_dogs,152
Siberian_Husky,stanford_dogs,192
Dalmatian,wikimedia_commons,186
Rottweiler,stanford_dogs,152
reject,stanford+animals10+coco,1600
