true_label/predicted_label,Abyssinian,Bengal,Birman,Bombay,British_Shorthair,Maine_Coon,Ragdoll,Sphynx,Tabby,Tiger_Cat,Beagle,Pug,Boxer,Shiba_Inu,Samoyed,Golden_Retriever,German_Shepherd,Siberian_Husky,Dalmatian,Rottweiler,reject
Abyssinian,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bengal,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birman,0,0,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bombay,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
British_Shorthair,0,0,0,0,38,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Maine_Coon,1,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ragdoll,0,0,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphynx,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabby,1,1,1,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,1
Tiger_Cat,0,2,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
Beagle,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,1,0,0,0,0,1
Pug,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
Boxer,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
Shiba_Inu,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
Samoyed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
Golden_Retriever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0
German_Shepherd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,0
Siberian_Husky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,2
Dalmatian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1
Rottweiler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
reject,1,1,0,1,1,1,0,0,0,0,5,2,3,4,3,2,5,3,2,2,284
