true\pred,Abyssinian,Bengal,Birman,Bombay,British_Shorthair,Maine_Coon,Ragdoll,Sphynx,Tabby,Tiger_Cat,Beagle,Pug,Boxer,Shiba_Inu,Samoyed,Golden_Retriever,German_Shepherd,Siberian_Husky,Dalmatian,Rottweiler,reject
Abyssinian,25,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,10
Bengal,0,32,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5
Birman,0,0,28,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Bombay,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
British_Shorthair,1,1,0,0,28,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7
Maine_Coon,0,0,0,0,0,28,0,1,1,2,0,0,0,0,0,1,0,0,0,0,7
Ragdoll,0,0,6,0,0,2,27,0,0,0,0,0,0,0,1,0,0,0,0,0,4
Sphynx,0,0,0,0,0,0,0,31,0,0,3,2,0,0,0,0,0,0,0,0,4
Tabby,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0,1,0,0,0,0,16
Tiger_Cat,0,4,0,0,0,2,0,0,1,25,0,0,0,0,0,0,0,0,0,0,8
Beagle,0,0,0,0,0,0,0,0,0,0,25,0,7,1,0,0,0,0,0,0,7
Pug,0,0,0,1,0,0,0,0,0,2,0,31,1,0,0,0,0,0,0,0,5
Boxer,0,0,0,0,0,0,0,0,0,0,2,2,33,0,0,0,0,0,0,0,3
Shiba_Inu,1,0,0,0,0,1,0,0,0,0,1,0,0,24,1,0,0,0,0,0,12
Samoyed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1
Golden_Retriever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0,2
German_Shepherd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,2,9
Siberian_Husky,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,27,0,0,8
Dalmatian,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,1,5
Rottweiler,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5
reject,3,2,1,2,0,3,1,9,10,3,3,4,5,2,7,23,6,4,3,9,220
