true\pred,Abyssinian,Bengal,Birman,Bombay,British_Shorthair,Maine_Coon,Ragdoll,Sphynx,Tabby,Tiger_Cat,Beagle,Pug,Boxer,Shiba_Inu,Samoyed,Golden_Retriever,German_Shepherd,Siberian_Husky,Dalmatian,Rottweiler,reject
Abyssinian,0.625,0.0,0.0,0.0,0.025,0.0,0.025,0.0,0.05,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Bengal,0.0,0.8,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.125
Birman,0.0,0.0,0.7,0.0,0.0,0.0,0.25,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025
Bombay,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
British_Shorthair,0.025,0.025,0.0,0.0,0.7,0.025,0.025,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175
Maine_Coon,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.025,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.175
Ragdoll,0.0,0.0,0.15,0.0,0.0,0.05,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.1
Sphynx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0.0,0.075,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Tabby,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.4
Tiger_Cat,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.025,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.175,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.175
Pug,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.775,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
Boxer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075
Shiba_Inu,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.6,0.025,0.0,0.0,0.0,0.0,0.0,0.3
Samoyed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.025
Golden_Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333,0.9,0.0,0.0,0.0,0.0,0.066667
German_Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333,0.6,0.0,0.0,0.066667,0.3
Siberian_Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026316,0.026316,0.0,0.0,0.0,0.0,0.026316,0.710526,0.0,0.0,0.210526
Dalmatian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.810811,0.027027,0.135135
Rottweiler,0.0,0.0,0.0,0.066667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766667,0.166667
reject,0.009375,0.00625,0.003125,0.00625,0.0,0.009375,0.003125,0.028125,0.03125,0.009375,0.009375,0.0125,0.015625,0.00625,0.021875,0.071875,0.01875,0.0125,0.009375,0.028125,0.6875
