filename,label
reject/reject_coco__000000066135.jpg,-1
reject/reject_coco__000000051712.jpg,-1
reject/reject_coco__000000023666.jpg,-1
reject/reject_animals10__Chicken__animals10_Chicken_00031.jpg,-1
reject/reject_coco__000000056350.jpg,-1
reject/reject_coco__000000000139.jpg,-1
reject/reject_stanford__n02085782-Japanese_spaniel__n02085782_1059.jpg,-1
reject/reject_coco__000000019109.jpg,-1
reject/reject_stanford__n02091032-Italian_greyhound__n02091032_1030.jpg,-1
reject/reject_stanford__n02098413-Lhasa__n02098413_10966.jpg,-1
reject/reject_stanford__n02091831-Saluki__n02091831_1036.jpg,-1
reject/reject_animals10__Chicken__animals10_Chicken_00013.jpg,-1
reject/reject_coco__000000002157.jpg,-1
reject/reject_coco__000000061471.jpg,-1
reject/reject_stanford__n02095314-wire-haired_fox_terrier__n02095314_105.jpg,-1
reject/reject_stanford__n02091134-whippet__n02091134_10219.jpg,-1
reject/reject_animals10__Cow__animals10_Cow_00024.jpg,-1
reject/reject_stanford__n02099429-curly-coated_retriever__n02099429_1039.jpg,-1
reject/reject_animals10__Elephant__animals10_Elephant_00002.jpg,-1
reject/reject_coco__000000068628.jpg,-1
reject/reject_coco__000000057150.jpg,-1
reject/reject_coco__000000036844.jpg,-1
reject/reject_stanford__n02111277-Newfoundland__n02111277_1029.jpg,-1
reject/reject_coco__000000031050.jpg,-1
reject/reject_coco__000000001490.jpg,-1
reject/reject_animals10__Butterfly__animals10_Butterfly_00026.jpg,-1
reject/reject_coco__000000016010.jpg,-1
reject/reject_coco__000000061584.jpg,-1
reject/reject_stanford__n02099267-flat-coated_retriever__n02099267_1095.jpg,-1
reject/reject_coco__000000068387.jpg,-1
reject/reject_stanford__n02093256-Staffordshire_bullterrier__n02093256_1134.jpg,-1
reject/reject_stanford__n02091635-otterhound__n02091635_1151.jpg,-1
reject/reject_coco__000000007108.jpg,-1
reject/reject_animals10__Horse__animals10_Horse_00004.jpg,-1
reject/reject_stanford__n02102177-Welsh_springer_spaniel__n02102177_108.jpg,-1
reject/reject_stanford__n02094433-Yorkshire_terrier__n02094433_1177.jpg,-1
reject/reject_stanford__n02088094-Afghan_hound__n02088094_10715.jpg,-1
reject/reject_stanford__n02112137-chow__n02112137_10457.jpg,-1
reject/reject_coco__000000043314.jpg,-1
reject/reject_stanford__n02113186-Cardigan__n02113186_10361.jpg,-1
reject/reject_stanford__n02106030-collie__n02106030_10057.jpg,-1
reject/reject_coco__000000026465.jpg,-1
reject/reject_coco__000000061333.jpg,-1
reject/reject_stanford__n02090622-borzoi__n02090622_1047.jpg,-1
reject/reject_coco__000000037777.jpg,-1
reject/reject_animals10__Elephant__animals10_Elephant_00018.jpg,-1
reject/reject_coco__000000006012.jpg,-1
reject/reject_coco__000000056288.jpg,-1
reject/reject_stanford__n02090721-Irish_wolfhound__n02090721_1041.jpg,-1
reject/reject_coco__000000052507.jpg,-1
reject/reject_coco__000000000776.jpg,-1
reject/reject_stanford__n02097298-Scotch_terrier__n02097298_10965.jpg,-1
reject/reject_stanford__n02106030-collie__n02106030_10021.jpg,-1
reject/reject_coco__000000030494.jpg,-1
reject/reject_animals10__Cow__animals10_Cow_00007.jpg,-1
reject/reject_coco__000000024567.jpg,-1
reject/reject_coco__000000005193.jpg,-1
reject/reject_coco__000000013597.jpg,-1
reject/reject_animals10__Spider__animals10_Spider_00017.jpg,-1
reject/reject_stanford__n02102040-English_springer__n02102040_1147.jpg,-1
reject/reject_stanford__n02108000-EntleBucher__n02108000_1044.jpg,-1
reject/reject_coco__000000008629.jpg,-1
reject/reject_animals10__Spider__animals10_Spider_00014.jpg,-1
reject/reject_stanford__n02087046-toy_terrier__n02087046_1386.jpg,-1
reject/reject_stanford__n02096177-cairn__n02096177_10483.jpg,-1
reject/reject_stanford__n02107312-miniature_pinscher__n02107312_1233.jpg,-1
reject/reject_coco__000000055022.jpg,-1
reject/reject_stanford__n02091244-Ibizan_hound__n02091244_1045.jpg,-1
reject/reject_coco__000000042276.jpg,-1
reject/reject_stanford__n02101006-Gordon_setter__n02101006_1126.jpg,-1
reject/reject_coco__000000050811.jpg,-1
reject/reject_stanford__n02088466-bloodhound__n02088466_10335.jpg,-1
reject/reject_stanford__n02101556-clumber__n02101556_1116.jpg,-1
reject/reject_stanford__n02112350-keeshond__n02112350_10023.jpg,-1
reject/reject_stanford__n02108422-bull_mastiff__n02108422_1013.jpg,-1
reject/reject_stanford__n02087046-toy_terrier__n02087046_1468.jpg,-1
reject/reject_animals10__Cow__animals10_Cow_00016.jpg,-1
reject/reject_coco__000000057238.jpg,-1
reject/reject_animals10__Cow__animals10_Cow_00019.jpg,-1
reject/reject_stanford__n02093859-Kerry_blue_terrier__n02093859_1127.jpg,-1
reject/reject_coco__000000022935.jpg,-1
reject/reject_coco__000000019924.jpg,-1
reject/reject_stanford__n02113978-Mexican_hairless__n02113978_1030.jpg,-1
reject/reject_animals10__Elephant__animals10_Elephant_00015.jpg,-1
reject/reject_animals10__Cow__animals10_Cow_00001.jpg,-1
reject/reject_animals10__Sheep__animals10_Sheep_00036.jpg,-1
reject/reject_stanford__n02093256-Staffordshire_bullterrier__n02093256_10078.jpg,-1
reject/reject_coco__000000048396.jpg,-1
reject/reject_stanford__n02099429-curly-coated_retriever__n02099429_1122.jpg,-1
reject/reject_animals10__Butterfly__animals10_Butterfly_00029.jpg,-1
reject/reject_stanford__n02092339-Weimaraner__n02092339_110.jpg,-1
reject/reject_animals10__Horse__animals10_Horse_00019.jpg,-1
reject/reject_stanford__n02112137-chow__n02112137_10430.jpg,-1
reject/reject_coco__000000025424.jpg,-1
reject/reject_animals10__Horse__animals10_Horse_00006.jpg,-1
reject/reject_stanford__n02096437-Dandie_Dinmont__n02096437_1006.jpg,-1
reject/reject_stanford__n02110063-malamute__n02110063_10567.jpg,-1
reject/reject_animals10__Spider__animals10_Spider_00006.jpg,-1
reject/reject_stanford__n02096051-Airedale__n02096051_1110.jpg,-1
reject/reject_coco__000000051314.jpg,-1
reject/reject_coco__000000002431.jpg,-1
reject/reject_coco__000000042178.jpg,-1
reject/reject_stanford__n02092339-Weimaraner__n02092339_1013.jpg,-1
reject/reject_stanford__n02106382-Bouvier_des_Flandres__n02106382_1005.jpg,-1
